"start","end","precipitations"
1595638800,1595642400,0
1595642400,1595646000,0
1595646000,1595649600,0
1595649600,1595653200,0
1595653200,1595656800,0
1595656800,1595660400,0
1595660400,1595664000,0
1595664000,1595667600,0
1595667600,1595671200,0
1595671200,1595674800,0
1595674800,1595678400,0
1595678400,1595682000,0
1595682000,1595685600,0
1595685600,1595689200,0
1595689200,1595692800,0
1595692800,1595696400,0
1595696400,1595700000,0
1595700000,1595703600,0
1595703600,1595707200,0
1595707200,1595710800,0
1595710800,1595714400,0
1595714400,1595718000,0
1595718000,1595721600,0
1595721600,1595725200,0
1595725200,1595728800,0
1595728800,1595732400,0
1595732400,1595736000,0
1595736000,1595739600,0
1595739600,1595743200,0
1595743200,1595746800,0
1595746800,1595750400,0
1595750400,1595754000,0
1595754000,1595757600,0
1595757600,1595761200,0
1595761200,1595764800,0
1595764800,1595768400,0
1595768400,1595772000,0
1595772000,1595775600,0
1595775600,1595779200,0
1595779200,1595782800,0
1595782800,1595786400,0
1595786400,1595790000,0
1595790000,1595793600,0
1595793600,1595797200,0
1595797200,1595800800,0
1595800800,1595804400,0
1595804400,1595808000,0
1595808000,1595811600,0
1595811600,1595815200,0
1595815200,1595818800,0
1595818800,1595822400,0
1595822400,1595826000,0
1595826000,1595829600,0
1595829600,1595833200,0
1595833200,1595836800,0
1595836800,1595840400,0
1595840400,1595844000,0
1595844000,1595847600,0
1595847600,1595851200,0
1595851200,1595854800,0
1595854800,1595858400,0
1595858400,1595862000,0
1595862000,1595865600,0
1595865600,1595869200,0
1595869200,1595872800,0
1595872800,1595876400,0
1595876400,1595880000,0
1595880000,1595883600,0
1595883600,1595887200,0
1595887200,1595890800,0
1595890800,1595894400,0
1595894400,1595898000,0
1595898000,1595901600,0
1595901600,1595905200,0
1595905200,1595908800,0
1595908800,1595912400,0
1595912400,1595916000,0
1595916000,1595919600,0
1595919600,1595923200,0
1595923200,1595926800,0
1595926800,1595930400,0
1595930400,1595934000,0
1595934000,1595937600,0
1595937600,1595941200,0
1595941200,1595944800,0
1595944800,1595948400,0
1595948400,1595952000,0
1595952000,1595955600,0
1595955600,1595959200,0
1595959200,1595962800,0
1595962800,1595966400,0
1595966400,1595970000,0
1595970000,1595973600,0
1595973600,1595977200,0
1595977200,1595980800,0
1595980800,1595984400,0
1595984400,1595988000,0
1595988000,1595991600,0
1595991600,1595995200,0
1595995200,1595998800,0
1595998800,1596002400,0
1596002400,1596006000,0
1596006000,1596009600,0
1596009600,1596013200,0
1596013200,1596016800,0
1596016800,1596020400,0
1596020400,1596024000,0
1596024000,1596027600,0
1596027600,1596031200,0
1596031200,1596034800,0
1596034800,1596038400,0
1596038400,1596042000,0
1596042000,1596045600,0
1596045600,1596049200,0
1596049200,1596052800,0
1596052800,1596056400,0
1596056400,1596060000,0
1596060000,1596063600,0
1596063600,1596067200,0
1596067200,1596070800,0
1596070800,1596074400,0
1596074400,1596078000,0
1596078000,1596081600,0
1596081600,1596085200,0
1596085200,1596088800,0
1596088800,1596092400,0
1596092400,1596096000,0
1596096000,1596099600,0
1596099600,1596103200,0
1596103200,1596106800,0
1596106800,1596110400,0
1596110400,1596114000,0
1596114000,1596117600,0
1596117600,1596121200,0
1596121200,1596124800,0
1596124800,1596128400,0
1596128400,1596132000,0
1596132000,1596135600,0
1596135600,1596139200,0
1596139200,1596142800,0
1596142800,1596146400,0
1596146400,1596150000,0
1596150000,1596153600,0
1596153600,1596157200,0
1596157200,1596160800,0
1596160800,1596164400,0
1596164400,1596168000,0
1596168000,1596171600,0
1596171600,1596175200,0
1596175200,1596178800,0
1596178800,1596182400,0
1596182400,1596186000,0
1596186000,1596189600,0
1596189600,1596193200,0
1596193200,1596196800,0
1596196800,1596200400,0
1596200400,1596204000,0
1596204000,1596207600,0
1596207600,1596211200,0
1596211200,1596214800,0
1596214800,1596218400,0
1596218400,1596222000,0
1596222000,1596225600,0
1596225600,1596229200,0
1596229200,1596232800,0
1596232800,1596236400,0
1596236400,1596240000,0
1596240000,1596243600,0
1596243600,1596247200,0
1596247200,1596250800,0
1596250800,1596254400,0
1596254400,1596258000,0
1596258000,1596261600,0
1596261600,1596265200,0
1596265200,1596268800,0
1596268800,1596272400,0
1596272400,1596276000,0
1596276000,1596279600,0
1596279600,1596283200,0
1596283200,1596286800,0
1596286800,1596290400,0
1596290400,1596294000,0
1596294000,1596297600,0
1596297600,1596301200,0
1596301200,1596304800,0
1596304800,1596308400,0
1596308400,1596312000,0
1596312000,1596315600,0
1596315600,1596319200,0
1596319200,1596322800,0
1596322800,1596326400,0
1596326400,1596330000,0
1596330000,1596333600,0
1596333600,1596337200,0
1596337200,1596340800,0
1596340800,1596344400,0
1596344400,1596348000,0
1596348000,1596351600,0
1596351600,1596355200,0
1596355200,1596358800,0
1596358800,1596362400,0
1596362400,1596366000,0
1596366000,1596369600,0
1596369600,1596373200,0
1596373200,1596376800,0
1596376800,1596380400,0
1596380400,1596384000,0
1596384000,1596387600,0
1596387600,1596391200,0
1596391200,1596394800,0
1596394800,1596398400,0
1596398400,1596402000,0
1596402000,1596405600,0
1596405600,1596409200,0
1596409200,1596412800,0
1596412800,1596416400,0
1596416400,1596420000,0
1596420000,1596423600,0
1596423600,1596427200,0
1596427200,1596430800,0
1596430800,1596434400,0
1596434400,1596438000,0
1596438000,1596441600,0
1596441600,1596445200,0
1596445200,1596448800,0
1596448800,1596452400,0
1596452400,1596456000,0
1596456000,1596459600,0
1596459600,1596463200,0
1596463200,1596466800,0
1596466800,1596470400,0
1596470400,1596474000,0
1596474000,1596477600,0
1596477600,1596481200,0
1596481200,1596484800,0
1596484800,1596488400,0
1596488400,1596492000,0
1596492000,1596495600,0
1596495600,1596499200,0
1596499200,1596502800,0
1596502800,1596506400,0
1596506400,1596510000,0
1596510000,1596513600,0
1596513600,1596517200,0
1596517200,1596520800,0
1596520800,1596524400,0
1596524400,1596528000,0
1596528000,1596531600,1.2
1596531600,1596535200,1.6
1596535200,1596538800,0.6
1596538800,1596542400,0
1596542400,1596546000,0
1596546000,1596549600,0
1596549600,1596553200,0
1596553200,1596556800,0
1596556800,1596560400,0
1596560400,1596564000,0
1596564000,1596567600,0
1596567600,1596571200,0
1596571200,1596574800,0.4
1596574800,1596578400,0
1596578400,1596582000,0.4
1596582000,1596585600,2.8
1596585600,1596589200,0.6
1596589200,1596592800,1
1596592800,1596596400,0.4
1596596400,1596600000,0.6
1596600000,1596603600,0.2
1596603600,1596607200,0
1596607200,1596610800,0
1596610800,1596614400,0
1596614400,1596618000,0.2
1596618000,1596621600,0
1596621600,1596625200,0
1596625200,1596628800,0
1596628800,1596632400,0
1596632400,1596636000,0
1596636000,1596639600,0
1596639600,1596643200,0
1596643200,1596646800,0
1596646800,1596650400,0
1596650400,1596654000,0
1596654000,1596657600,0
1596657600,1596661200,0
1596661200,1596664800,0
1596664800,1596668400,0
1596668400,1596672000,0
1596672000,1596675600,0
1596675600,1596679200,0
1596679200,1596682800,0
1596682800,1596686400,0
1596686400,1596690000,0
1596690000,1596693600,0
1596693600,1596697200,0
1596697200,1596700800,0
1596700800,1596704400,0
1596704400,1596708000,0
